"Package","Author","Title","URL"
"schemeR",NA,"Visualize SQLite structure with R :neckbeard:","https://github.com/jsta/schemeR"
"nla2012",NA,"Data package for the US EPA 2012 National Lakes Assessment","https://github.com/jhollist/nla2012"
"nesR",NA,"Scrape Data from the National Eutrophication Survey","https://github.com/jsta/nesR"
"lakemorpho_manuscript",NA,"repository containing manuscript describing the lakemorpho R package","https://github.com/jhollist/lakemorpho_manuscript"
"dataflowchl",NA,"Improved estimation of phytoplankton abundance and fine-scale water quality features via simultaneous discrete and semi-continuous surveys","https://github.com/jsta/dataflowchl"
"DataflowR",NA,"Data handling and interpolation for underway water quality monitoring :speedboat: :dash: :sweat_drops::","https://github.com/jsta/DataflowR"
"beamer-lake-fig",NA,"Collection of lake diagrams for use in LaTeX documents :page_with_curl:","https://github.com/jsta/beamer-lake-fig"
"speCluster",NA,"Spectral Clustering in R","https://github.com/cont-limno/speCluster"
"LAGOSNEgis",NA,"Extra functions to interact with the GIS module of LAGOSNE","https://github.com/jsta/LAGOSNEgis"
"peatcollapse_methods",NA,"In-situ simulation of sea-level rise impacts on coastal wetlands using a flow-through mesocosm approach","https://github.com/jsta/peatcollapse_methods"
"wikiprojectlakes",NA,"Create a Wikipedia Lake Page","https://github.com/GLEON/wikiprojectlakes"
"openbugs",NA,"Source code mirror for openbugs","https://github.com/jsta/openbugs"
"swatr",NA,"A multi-OS implementation of the TAMU SWAT model","https://github.com/jsta/swatr"
"nlmpy",NA,"A Python package to create neutral landscape models [pip mirror]","https://github.com/jsta/nlmpy"
"nes_connectivity_p",NA,"Does Freshwater Connectivity Influence Phosphorus Retention in Lakes?","https://github.com/jsta/nes_connectivity_p"
"MANAGE",NA,"Measured Annual Nutrient loads from AGricultural Environments","https://github.com/jsta/MANAGE"
"2018_ASLO",NA,"Does Lake and Stream Connectivity Control Phosphorus Retention in Lakes?","https://github.com/jsta/2018_ASLO"
"aslo_tweets",NA," analyzing tweets about ASLO 2018","https://github.com/jsta/aslo_tweets"
"lagos_ag",NA,"Use more detailed Ag data to improve lake TP and TN models :corn: :cow:","https://github.com/jsta/lagos_ag"
"paper_template",NA,"Minimal Makefile-driven paper template ","https://github.com/jsta/paper_template"
