"Package","Author","Title","URL","tags","bg_color"
"mapview.addin",NA,"RStudio addin for viewing Spatial objects","https://github.com/jsta/mapview.addin","R","#198CE7"
"dciR",NA,"Calculate Directional Connectivity Index without Matlab","https://github.com/jsta/dciR","MATLAB","#e16737"
"irlgraph",NA,"Irregular Landscape Graphs to generate accumulated cost surfaces","https://github.com/jsta/irlgraph","R","#198CE7"
"imagemagick_cheatsheet",NA,"Cheatsheet for the command line image editing program Imagemagick","https://github.com/jsta/imagemagick_cheatsheet","TeX","#3D6117"
"schemeR",NA,"Visualize SQLite structure with R :neckbeard:","https://github.com/jsta/schemeR","R","#198CE7"
"nesR",NA,"Scrape Data from the National Eutrophication Survey","https://github.com/jsta/nesR","R","#198CE7"
"lakemorpho_manuscript",NA,"repository containing manuscript describing the lakemorpho R package","https://github.com/jhollist/lakemorpho_manuscript","TeX","#3D6117"
"dataflowchl",NA,"Improved estimation of phytoplankton abundance and fine-scale water quality features via simultaneous discrete and semi-continuous surveys","https://github.com/jsta/dataflowchl","TeX","#3D6117"
"DataflowR",NA,"Data handling and interpolation for underway water quality monitoring :speedboat: :dash: :sweat_drops::","https://github.com/jsta/DataflowR","R","#198CE7"
"beamer-lake-fig",NA,"Collection of lake diagrams for use in LaTeX documents :page_with_curl:","https://github.com/jsta/beamer-lake-fig","TeX","#3D6117"
"speCluster",NA,"Spectral Clustering in R","https://github.com/cont-limno/speCluster","R","#198CE7"
"wql",NA,"Water Quality - Lite : Exploring Water Quality Monitoring Data","https://github.com/jsta/wql","HTML","#e34c26"
"riverdist",NA,"River Network Distance Computation and Applications","https://github.com/jsta/riverdist","HTML","#e34c26"
"LAGOSNEgis",NA,"Extra functions to interact with the GIS module of LAGOSNE","https://github.com/jsta/LAGOSNEgis","R","#198CE7"
"peatcollapse_methods",NA,"In-situ simulation of sea-level rise impacts on coastal wetlands using a flow-through mesocosm approach","https://github.com/jsta/peatcollapse_methods","TeX","#3D6117"
"nes_connectivity_p",NA,"Does Freshwater Connectivity Influence Phosphorus Retention in Lakes?","https://github.com/jsta/nes_connectivity_p","R","#198CE7"
"MANAGE",NA,"Measured Annual Nutrient loads from AGricultural Environments","https://github.com/jsta/MANAGE","R","#198CE7"
"aslo_tweets",NA," analyzing tweets about ASLO 2018","https://github.com/jsta/aslo_tweets",NA,NA
"paper_template",NA,"Minimal Makefile-driven paper template ","https://github.com/jsta/paper_template","Makefile","#427819"
"rv",NA,"Simulation-Based Random Variable Objects","https://github.com/jsta/rv","R","#198CE7"
"linguist",NA,"Language Savant. If your repository's language is being reported incorrectly, send us a pull request!","https://github.com/github/linguist","Ruby","#701516"
"janitor",NA,"simple tools for data cleaning in R","https://github.com/sfirke/janitor","R","#198CE7"
"vitae",NA,"R Markdown Résumés and CVs","https://github.com/ropenscilabs/vitae","R","#198CE7"
"rstats-ed",NA,"List of courses teaching R","https://github.com/rstudio-education/rstats-ed",NA,NA
"mapview",NA,"Interactive viewing of spatial data in R","https://github.com/r-spatial/mapview","R","#198CE7"
"rnoaa",NA,"R interface to many NOAA data APIs","https://github.com/ropensci/rnoaa","R","#198CE7"
"prob-stats",NA,"Probability and Statistics: a simulation-based introduction.  An open-access book.","https://github.com/bob-carpenter/prob-stats","TeX","#3D6117"
"dataRetrieval",NA,"This R package is designed to obtain USGS or EPA water quality sample data, streamflow data, and metadata directly from web services","https://github.com/USGS-R/dataRetrieval","R","#198CE7"
"fiveMinuteStats",NA,"A repo of short ""vignettes"" illustrating statistical concepts","https://github.com/stephens999/fiveMinuteStats","HTML","#e34c26"
"DataPackageR",NA,"An R package to enable reproducible data processing, packaging and sharing.","https://github.com/ropensci/DataPackageR","R","#198CE7"
"make-novice",NA,"Novice lesson on Make","https://github.com/swcarpentry/make-novice","Python","#3572A5"
"landscapemetrics",NA,"Landscape Metrics for Categorical Map Patterns 🗺️ in R","https://github.com/r-spatialecology/landscapemetrics","R","#198CE7"
"python-ecology-lesson",NA,":page_with_curl: Data Carpentry Python lessons on ecology.","https://github.com/datacarpentry/python-ecology-lesson","Jupyter Notebook","#DA5B0B"
"r-novice-inflammation",NA,"Software Carpentry introduction to R for novices using inflammation data.","https://github.com/swcarpentry/r-novice-inflammation","HTML","#e34c26"
"FedData",NA,"Functions to Automate Downloading Geospatial Data Available from Several Federated Data Sources","https://github.com/ropensci/FedData","R","#198CE7"
"whiteboxR",NA,"WhiteboxTools R Frontend","https://github.com/giswqs/whiteboxR","R","#198CE7"
"rr-organization1",NA,"The Organization lesson for the Reproducible Science Curriculum","https://github.com/datacarpentry/rr-organization1","HTML","#e34c26"
"tidyRSS",NA,"An R package for extracting tidy data frames from RSS, Atom, JSON and geoRSS feeds","https://github.com/RobertMyles/tidyRSS","R","#198CE7"
"Hydrology",NA,"CRAN Hydrology Task View","https://github.com/ropensci/Hydrology","HTML","#e34c26"
"spreadsheet-ecology-lesson",NA,"This repository contains Data Carpentry lessons on using spreadsheets for data wrangling.","https://github.com/datacarpentry/spreadsheet-ecology-lesson","HTML","#e34c26"
"sql-ecology-lesson",NA,"Lesson on using SQL for ecology.","https://github.com/datacarpentry/sql-ecology-lesson","HTML","#e34c26"
"gpe",NA,"Gaussian process everything - an R package to reimplement and combine common statistical models using GPs","https://github.com/goldingn/gpe","R","#198CE7"
"geospatial-workshop",NA,"Overview, setup instructions, and data presentation for the Data Carpentry Geospatial Workshop","https://github.com/datacarpentry/geospatial-workshop","HTML","#e34c26"
